refYear,partnerISO,partnerDesc,fobvalue,netWgt,qtyUnitAbbr,valuePerUnit
2022,IDN,Indonesia,39363688.75,17580232,kg,2.23908812750594
2022,IDN,Indonesia,179500,60000,kg,2.99166666666667
2022,IDN,Indonesia,26764.467,23815,kg,1.1238491287004
2022,IDN,Indonesia,164241.92,76178,kg,2.15602824962588
2022,GHA,Ghana,130.701,8,kg,16.337625
2022,IDN,Indonesia,213383.258,100000,kg,2.13383258
2022,CIV,C矌e d'Ivoire,1116.708,86,kg,12.984976744186
2022,IDN,Indonesia,35234810.6,15923371,kg,2.21277332544723
2022,IDN,Indonesia,246943.887,117851,kg,2.09539067975664
2022,IDN,Indonesia,11201338.19,5207440,kg,2.15102587643833
2022,NGA,Nigeria,47,3,kg,15.6666666666667
2023,BRA,Brazil,243944.062,42248.8,kg,5.77398794758668
2023,IDN,Indonesia,165018.654,104644.45,kg,1.57694606832947
2023,IDN,Indonesia,26619066.606,9336587,kg,2.85104895461264
2023,NGA,Nigeria,10.813,3,kg,3.60433333333333
2023,NGA,Nigeria,1215592.847,473000,kg,2.56996373572939
2023,IDN,Indonesia,246.708,,N/A,#DIV/0!
2023,IDN,Indonesia,700518,250185,kg,2.8
2023,IDN,Indonesia,37472806.681,18815270,kg,1.99161673901039
2023,IDN,Indonesia,26820391.024,9727273,kg,2.75723638310552
2023,IDN,Indonesia,203931617,,N/A,#DIV/0!
2023,BRA,Brazil,7349794.963,4300000,kg,1.70925464255814
2023,IDN,Indonesia,3740200.137,1508000,kg,2.48023881763926
2023,BRA,Brazil,57714717.309,23323300,kg,2.47455194200649
2023,GHA,Ghana,14688338.307,5905910,kg,2.48705759264872
2023,IDN,Indonesia,116591312.432,50475470,kg,2.30986085779885
2023,IDN,Indonesia,68502.477,25043,kg,2.73539420197261
2023,IDN,Indonesia,694531.774,331668,kg,2.09405723193073
2023,IDN,Indonesia,20276644.869,8245520,kg,2.45911050716025
2023,BRA,Brazil,16579.355,300600,kg,0.0551542082501663
2023,IDN,Indonesia,1981638.837,814236,kg,2.43374014045068
2023,IDN,Indonesia,85568331.248,33379030,kg,2.56353558650446
2023,IDN,Indonesia,53694526.876,3306860000,kg,0.0162373148170772
2023,IDN,Indonesia,36642650.08,12112884,kg,3.02509708505423
2023,IDN,Indonesia,278625,73854.7,kg,3.77261027395684
2023,NGA,Nigeria,90381.081,50620,kg,1.78548164757013
2023,IDN,Indonesia,172070.5,57548.662,kg,2.99000001077349
2023,IDN,Indonesia,1411828.389,840000,kg,1.68074808214286
2023,IDN,Indonesia,38427570.9,13944130,kg,2.75582419986044
2023,IDN,Indonesia,13991326.94,4704040,kg,2.97432142158655
2024,BRA,Brazil,247806.514,26965.6,kg,9.18972743050405
2024,IDN,Indonesia,2103753.53,261505,kg,8.04479275730865
2024,IDN,Indonesia,815200,200000,kg,4.076
2024,NGA,Nigeria,6.494,3.2,kg,2.029375
2024,IDN,Indonesia,4351005.23,550142,kg,7.90887667184109
2024,IDN,Indonesia,407025,75000,kg,5.427
2024,IDN,Indonesia,39633834.24,5544000,kg,7.14896
2024,BRA,Brazil,81026,5720,kg,14.1653846153846
2024,IDN,Indonesia,436855452.73,61453400,kg,7.10872714495862
2024,GHA,Ghana,3403895.145,561635,kg,6.06068913974378
2024,IDN,Indonesia,441175.285,59466,kg,7.41895007231023
2024,IDN,Indonesia,1439612,176303,kg,8.16555588957647
2024,BRA,Brazil,166244086.89,37537500,kg,4.4287469034965
2024,GHA,Ghana,3512686.188,750750,kg,4.67890268131868
