Production (tonnes),Yield (tonnes/hectare),Avg_Price_Per_Unit,yearly_avg_temperature,yearly_min_temperature,yearly_max_temperature,yearly_min_rainfall,yearly_max_rainfall,yearly_avg_rainfall,yearly_total_rainfall,Country,Date
809583.0,0.5101,2.5564028403664145,26.627945205479453,23.8,30.0,0,53.5,3.816164383561644,1392.9,Indonesia,2009
844626.0,0.51140004,3.2908716056251572,26.404931506849312,24.0,28.7,0,53.1,7.743287671232877,2826.3,Indonesia,2010
712200.0,0.41110003,2.091891706051679,26.234520547945205,23.5,29.1,0,31.7,4.578630136986302,1671.2,Indonesia,2011
740500.0,0.39960003,2.5462683697107855,26.18032786885246,23.4,29.1,0,53.8,5.081967213114754,1860.0,Indonesia,2012
720900.0,0.41420004,2.4837237142348663,26.361643835616437,23.4,29.2,0,53.6,6.042191780821918,2205.4,Indonesia,2013
728400.0,0.42170003,3.739419011314657,26.263835616438353,23.7,29.3,0,51.5,4.593150684931507,1676.5,Indonesia,2014
593331.0,0.34710002,3.3159324910550185,26.300821917808214,23.7,30.6,0,48.0,4.173972602739726,1523.5,Indonesia,2015
656817.0,0.38610002,2.7853427234729367,26.97459016393443,24.5,29.3,0,87.0,6.060109289617486,2218.0,Indonesia,2016
590684.0,0.35620004,2.4121808194205925,26.695342465753424,23.9,28.6,0,60.6,5.527671232876712,2017.6,Indonesia,2017
767280.0,0.4763,1.98648727084163,26.61123287671233,24.1,28.8,0,47.6,4.572876712328767,1669.1,Indonesia,2018
734795.0,0.47070003,2.3262902918767945,26.60493150684931,24.0,29.3,0,70.0,5.82054794520548,2124.5,Indonesia,2019
720660.0,0.47760004,2.050887856460472,26.820491803278685,24.9,28.7,0,50.5,7.419945355191256,2715.7,Indonesia,2020
650611.7,0.45790002,2.346144683051321,26.63150684931507,24.8,28.7,0,64.5,5.884657534246576,2147.9,Indonesia,2021
650611.7,0.45790002,1.966031664692992,26.694246575342465,25.0,28.4,0,53.2,6.546027397260274,2389.3,Indonesia,2022
641741.0,0.45490003,2.435138098774018,27.144109589041097,25.0,29.8,0,48.9,4.132876712328767,1508.5,Indonesia,2023
1235300.0,0.60170007,1.62507681849082,26.21448087431694,21.8,29.2,0,27.0,2.914207650273224,1066.6,Cote d'Ivoire,1996
1119110.0,0.61390007,0.940651428571429,26.234246575342464,22.0,31.3,0,67.6,3.197808219178082,1167.2,Cote d'Ivoire,1997
1201119.0,0.66730005,1.51487722158562,26.766301369863015,21.2,33.5,0,71.9,3.24,1182.6,Cote d'Ivoire,1998
1163025.0,0.6121,1.17267254901961,26.065753424657533,21.6,30.2,0,81.0,3.546027397260274,1294.3,Cote d'Ivoire,1999
1401101.0,0.7006,0.4974315896748962,26.228415300546448,21.7,30.9,0,80.3,3.0827868852459015,1128.3,Cote d'Ivoire,2000
1212428.0,0.6821,1.34807277528326,26.343013698630138,21.5,31.1,0,43.4,2.4624657534246572,898.8,Cote d'Ivoire,2001
1264708.0,0.67270005,1.8586604548203904,26.375616438356165,22.4,30.5,0,82.9,2.967945205479452,1083.3,Cote d'Ivoire,2002
1351546.0,0.6758,0.3177886191199129,26.489863013698628,21.8,30.9,0,212.1,3.804383561643835,1388.6,Cote d'Ivoire,2003
1407213.0,0.68640006,0.8718490211299237,26.554098360655736,21.8,31.1,0,100.8,2.758743169398907,1009.7,Cote d'Ivoire,2004
1286330.0,0.58640003,0.1813362715652937,26.38986301369863,22.0,30.6,0,43.9,3.169041095890411,1156.7,Cote d'Ivoire,2005
1229908.0,0.5184001,2.129238712755395,26.510136986301372,21.6,31.8,0,66.7,3.88054794520548,1416.4,Cote d'Ivoire,2007
1301347.0,0.5711,1.7909062700202645,26.813698630136987,22.1,30.9,0,78.5,3.161369863013699,1153.9,Cote d'Ivoire,2010
1511255.0,0.5628,3.6644539614561,26.42109589041096,22.2,30.8,0,39.4,2.9131506849315065,1063.3,Cote d'Ivoire,2011
1485882.0,0.5411,5.01759393939394,26.291803278688523,22.3,30.6,0,44.6,2.7740437158469944,1015.3,Cote d'Ivoire,2012
1637777.5,0.531,1.67137592592593,26.516164383561645,22.2,30.5,0,60.2,3.170958904109589,1157.4,Cote d'Ivoire,2014
1796000.0,0.51940006,3.66666666666667,26.69150684931507,22.6,30.1,0,72.2,2.723287671232877,994.0,Cote d'Ivoire,2015
1634000.0,0.51570004,6.7845,27.105737704918035,22.7,32.2,0,135.1,2.919398907103825,1068.5,Cote d'Ivoire,2016
2034000.0,0.51070005,5.7463125,26.43780821917808,22.4,30.2,0,38.1,3.022739726027397,1103.3,Cote d'Ivoire,2017
