"Country","Code","Year","Production (tonnes)","Yield (tonnes/hectare)","prediction"
"Nigeria","NGA",1978,157000,0.22430001,"Normal"
"Nigeria","NGA",1979,151000,0.2157,"Normal"
"Nigeria","NGA",1980,153000,0.21860002,"Normal"
"Nigeria","NGA",1981,174000,0.24860002,"Normal"
"Nigeria","NGA",1982,156000,0.2229,"Normal"
"Nigeria","NGA",1983,140000,0.2,"Normal"
"Nigeria","NGA",1984,160800,0.22970001,"Normal"
"Nigeria","NGA",1985,160000,0.22860001,"Normal"
"Nigeria","NGA",1986,148000,0.2114,"Normal"
"Nigeria","NGA",1987,150000,0.2143,"Normal"
"Nigeria","NGA",1988,253000,0.3614,"Normal"
"Nigeria","NGA",1989,256000,0.3616,"Normal"
"Nigeria","NGA",1990,244000,0.3413,"Normal"
"Nigeria","NGA",1991,268000,0.36910003,"Normal"
"Nigeria","NGA",1992,292000,0.4,"Normal"
"Nigeria","NGA",1993,306000,0.4163,"Normal"
"Nigeria","NGA",1994,323000,0.43010002,"Normal"
"Nigeria","NGA",1995,203000,0.2576,"Normal"
"Nigeria","NGA",1996,323000,0.43710002,"Normal"
"Nigeria","NGA",1997,318000,0.4303,"Normal"
"Nigeria","NGA",1998,370000,0.49800003,"Normal"
"Nigeria","NGA",1999,225000,0.30220002,"Normal"
"Nigeria","NGA",2000,338000,0.3499,"Normal"
"Nigeria","NGA",2001,340000,0.35200003,"Normal"
"Nigeria","NGA",2002,362000,0.3515,"Normal"
"Nigeria","NGA",2003,385000,0.38420004,"Normal"
"Nigeria","NGA",2004,412000,0.38790002,"Normal"
"Nigeria","NGA",2005,441000,0.3678,"Normal"
"Nigeria","NGA",2006,485000,0.4393,"Normal"
"Nigeria","NGA",2007,360570,0.26520002,"Normal"
"Nigeria","NGA",2008,367020,0.272,"Normal"
"Nigeria","NGA",2009,363510,0.2684,"Normal"
"Nigeria","NGA",2010,399200,0.31370002,"Normal"
"Nigeria","NGA",2011,391000,0.31500003,"Normal"
"Nigeria","NGA",2012,383000,0.30240002,"Normal"
"Nigeria","NGA",2013,367000,0.296,"Normal"
"Nigeria","NGA",2014,329870,0.28820002,"Normal"
"Nigeria","NGA",2015,302066,0.2858,"Normal"
"Nigeria","NGA",2016,298029,0.28410003,"Normal"
"Nigeria","NGA",2017,250000,0.28020003,"Normal"
"Nigeria","NGA",2018,270000,0.2842,"Normal"
"Nigeria","NGA",2019,250000,0.2823,"Normal"
"Nigeria","NGA",2020,357608.25,0.3009,"Normal"
"Nigeria","NGA",2021,280000,0.2789,"Normal"
"Nigeria","NGA",2022,280000,0.27260002,"Normal"
"Nigeria","NGA",2023,284232.16,0.2719,"Normal"
"Panama","PAN",1961,1300,0.28890002,"Normal"
"Panama","PAN",1962,1200,0.28570002,"Normal"
"Panama","PAN",1963,1000,0.25,"Normal"
"Panama","PAN",1964,900,0.23680001,"Normal"
"Panama","PAN",1965,700,0.1944,"Normal"
"Panama","PAN",1966,500,0.1429,"Normal"
"Panama","PAN",1967,500,0.14710002,"Normal"
"Panama","PAN",1968,500,0.1515,"Normal"
"Panama","PAN",1969,600,0.18180001,"Normal"
"Panama","PAN",1970,648,0.20120001,"Normal"
"Panama","PAN",1971,530,0.16560002,"Normal"
