typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","604","PER","Peru","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1598586","false","8","kg","1598586","false","1598586","false","0","false",,"4123652.54","4123652.54","0","false","true",
"C","A","20130101","2013","52","2013","608","PHL","Philippines","X","Export","458","MYS","Malaysia","0","W00","World","H2","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","258520","false","-1","N/A",,"false","258520","false",,"false",,"577749","577749","0","true","false",
"C","A","20130101","2013","52","2013","710","ZAF","South Africa","X","Export","288","GHA","Ghana","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","673.36","false","8","kg","673.36","false","673.36","false","0","false",,"3626.08","3626.08","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","85","false","8","kg","85","false","85","false",,"false",,"1252.985","1252.985","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","690622","false","8","kg","690622","false","690622","false",,"false",,"1630250.772","1630250.772","0","false","true",
"C","A","20130101","2013","52","2013","704","VNM","Viet Nam","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"6681630","6681630","0","true","false",
"C","A","20130101","2013","52","2013","724","ESP","Spain","X","Export","288","GHA","Ghana","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10.8","false","8","kg","10.8","false","10.8","false","0","false",,"5.285","5.285","0","false","true",
"C","A","20130101","2013","52","2013","757","CHE","Switzerland","X","Export","76","BRA","Brazil","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3","false","8","kg","3","false","3","false","0","false","0","32.366","32.366","0","false","true",
"C","A","20130101","2013","52","2013","834","TZA","United Rep. of Tanzania","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","102200","false","-1","N/A",,"false","102200","false",,"false",,"61132","61132","0","true","false",
"C","A","20130101","2013","52","2013","800","UGA","Uganda","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5181144","false","-1","N/A",,"false","5181144","false",,"false",,"8866251","8866251","0","true","false",
"C","A","20130101","2013","52","2013","842","USA","USA","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","75000","false","-1","N/A",,"false","75000","false",,"false",,"51573","51573","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","X","Export","76","BRA","Brazil","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","52021","false","8","kg","52021","false","52021","false","0","false","0","408506.876","408506.876","0","false","true",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14911","false","8","kg","14911","false","14911","false","0","false","0","105705.303","105705.303","0","false","true",
"C","A","20140101","2014","52","2014","90","SLB","Solomon Isds","X","Export","360","IDN","Indonesia","0","W00","World","H2","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","660000","false","8","kg","660000","false","660000","false",,"false",,"1721054.474","1721054.474","0","false","true",
"C","A","20140101","2014","52","2014","120","CMR","Cameroon","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4063280","false","-1","N/A",,"false","4063280","false",,"false",,"11717831","11717831","0","true","false",
